Department;Region;District;Kostenstelle;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Meppen;60510;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Osnabrück;60501;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Osnabrück;Vechta;60508;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Hannover;Hameln;60609;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Hannover;Hannover City;60615;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Hannover;Hannover West;60614;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Hannover;Stadthagen;60610;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Hannover;Wunstorf;60611;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Göttingen;Goslar (beinhaltet ÖZ2-GS Osterode);60608;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Göttingen;Göttingen;60601;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Göttingen;Hildesheim (beinhaltet ÖZ2-GS Alfeld);60605;;
Abteilung Schleswig-Holstein, Niedersachsen, Hamburg, Bremen (SH/Ni/HH/HB);Göttingen;Peine;60317;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Rostock;Bergen auf Rügen;60207;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Rostock;Greifswald;60204;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Rostock;Rostock;60201;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Rostock;Stralsund;60206;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Rostock;Wismar;60208;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Schwerin;Anklam;60209;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Schwerin;Güstrow;60205;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Schwerin;Neubrandenburg;60210;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Schwerin;Schwerin;60211;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Schwerin;Waren;60203;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Neuruppin;Brandenburg a.d.H.;10210;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Neuruppin;Hennigsdorf;10208;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Neuruppin;Neuruppin ;10202;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Neuruppin;Oranienburg (beinhaltet ÖZ2-GS Zehdenick);10207;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Potsdam;Bad Belzig;10203;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Potsdam;Falkensee;10204;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Potsdam;Luckenwalde;10205;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Potsdam;Ludwigsfelde;10206;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Potsdam;Potsdam;10201;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin A;Berlin Charlottenburg-Wilmersdorf;10101;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin A;Berlin Mitte;10104;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin A;Berlin Reinickendorf;10106;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin A;Berlin Steglitz-Zehlendorf;10107;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin B;Berlin Friedrichshain-Kreuzberg;;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin B;Berlin Marzahn-Hellersdorf;10103;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin B;Berlin Pankow;10105;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Berlin B;Berlin Treptow-Köpenick;10109;;
Abteilung Mecklenburg-Vorpommern, Brandenburg, Berlin (MV/BB/BE);Cottbus ;Cottbus;10401;;
